APMC,Commodity,cluster,date,modal_price,deseasonalize_price
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-05-01,2980,3424.3770929755433
Akluj,Chillies(Red),Akluj-Chillies(Red),2016-05-01,8250,3759.535146737756
Akluj,Chillies(Red),Akluj-Chillies(Red),2014-11-01,2776,4088.287706498892
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-11-01,2717,4352.570853108016
Akluj,Chillies(Red),Akluj-Chillies(Red),2014-10-01,3069,4214.449556914199
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-10-01,2750,7051.369360563658
Akluj,Chillies(Red),Akluj-Chillies(Red),2014-09-01,3014,7060.4734644071605
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-09-01,2671,5310.670873903469
Akluj,Chillies(Red),Akluj-Chillies(Red),2016-09-01,1683,9286.813312640857
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-04-01,1792,2721.402777777778
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-04-01,3471,899.5694444444443
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-08-01,1572,2389.152777777778
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-08-01,1692,2260.7777777777774
Akluj,Ladies Finger,Akluj-Ladies Finger,2014-12-01,2883,2721.736111111111
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-12-01,3289,3240.6944444444443
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-02-01,3090,2277.3402777777783
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-02-01,2713,1629.673611111111
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-01-01,3105,2233.569444444445
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-01-01,3178,2255.6111111111113
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-07-01,2000,2275.5694444444443
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-07-01,3535,2262.9027777777774
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-06-01,2637,2264.402777777778
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-06-01,4173,2351.5694444444443
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-03-01,2550,2512.152777777778
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-03-01,2963,2666.7777777777774
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-05-01,1646,2794.736111111111
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-05-01,3821,2863.6944444444443
Akluj,Ladies Finger,Akluj-Ladies Finger,2014-11-01,2544,2690.3402777777783
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-11-01,2667,3308.6736111111113
Akluj,Ladies Finger,Akluj-Ladies Finger,2014-10-01,1192,4408.569444444445
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-10-01,2644,3791.6111111111113
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-10-01,1605,3810.5694444444443
Akluj,Ladies Finger,Akluj-Ladies Finger,2014-09-01,2157,2382.9027777777774
Akluj,Ladies Finger,Akluj-Ladies Finger,2015-09-01,1700,1604.4027777777778
Akluj,Ladies Finger,Akluj-Ladies Finger,2016-09-01,1040,1312.5694444444443
Akluj,Maize,Akluj-Maize,2015-04-01,1337,1308.8263888888887
Akluj,Maize,Akluj-Maize,2016-04-01,1458,1264.701388888889
Akluj,Maize,Akluj-Maize,2015-08-01,1487,1183.451388888889
Akluj,Maize,Akluj-Maize,2016-08-01,1700,1139.326388888889
Akluj,Maize,Akluj-Maize,2014-12-01,1186,1237.2013888888887
Akluj,Maize,Akluj-Maize,2015-12-01,1540,1309.7847222222217
Akluj,Maize,Akluj-Maize,2015-02-01,1235,1320.4930555555554
Akluj,Maize,Akluj-Maize,2016-02-01,1472,1334.1180555555557
Akluj,Maize,Akluj-Maize,2015-01-01,1239,1353.9930555555554
Akluj,Maize,Akluj-Maize,2016-01-01,1525,1380.6597222222222
Akluj,Maize,Akluj-Maize,2015-07-01,1417,1407.326388888889
Akluj,Maize,Akluj-Maize,2016-07-01,1770,1429.1180555555554
Akluj,Maize,Akluj-Maize,2015-06-01,1314,1444.8263888888887
Akluj,Maize,Akluj-Maize,2016-06-01,1678,1455.701388888889
Akluj,Maize,Akluj-Maize,2015-03-01,1293,1469.451388888889
Akluj,Maize,Akluj-Maize,2016-03-01,1433,1493.326388888889
Akluj,Maize,Akluj-Maize,2015-05-01,1310,1523.2013888888887
Akluj,Maize,Akluj-Maize,2016-05-01,1519,1546.7847222222217
Akluj,Maize,Akluj-Maize,2014-11-01,1219,1460.4930555555554
Akluj,Maize,Akluj-Maize,2015-11-01,1505,1455.1180555555557
Akluj,Maize,Akluj-Maize,2014-10-01,1217,1562.9930555555554
Akluj,Maize,Akluj-Maize,2015-10-01,1408,1744.6597222222222
Akluj,Maize,Akluj-Maize,2014-09-01,1415,1760.326388888889
Akluj,Maize,Akluj-Maize,2015-09-01,1551,1642.1180555555554
Akluj,Onion,Akluj-Onion,2015-04-01,1055,-264.0277777777778
Akluj,Onion,Akluj-Onion,2016-04-01,833,476.1805555555561
Akluj,Onion,Akluj-Onion,2015-08-01,4553,410.01388888888914
Akluj,Onion,Akluj-Onion,2016-08-01,820,1416.5138888888887
Akluj,Onion,Akluj-Onion,2014-12-01,1050,1642.0555555555552
Akluj,Onion,Akluj-Onion,2015-12-01,2353,2033.6388888888887
Akluj,Onion,Akluj-Onion,2015-02-01,1395,2056.2847222222226
Akluj,Onion,Akluj-Onion,2016-02-01,1738,2117.4513888888887
Akluj,Onion,Akluj-Onion,2015-01-01,1174,2465.222222222222
Akluj,Onion,Akluj-Onion,2016-01-01,2135,2617.555555555555
Akluj,Onion,Akluj-Onion,2015-07-01,2686,2711.888888888889
Akluj,Onion,Akluj-Onion,2016-07-01,985,2766.222222222222
Akluj,Onion,Akluj-Onion,2015-06-01,1934,2779.972222222222
Akluj,Onion,Akluj-Onion,2016-06-01,840,2770.180555555556
Akluj,Onion,Akluj-Onion,2015-03-01,1313,2763.013888888889
Akluj,Onion,Akluj-Onion,2016-03-01,1300,2719.5138888888887
Akluj,Onion,Akluj-Onion,2015-05-01,1131,2603.055555555555
Akluj,Onion,Akluj-Onion,2016-05-01,1181,2376.6388888888887
Akluj,Onion,Akluj-Onion,2014-11-01,1068,2043.2847222222224
Akluj,Onion,Akluj-Onion,2015-11-01,3421,1895.451388888889
Akluj,Onion,Akluj-Onion,2014-10-01,1469,2515.222222222222
Akluj,Onion,Akluj-Onion,2015-10-01,3763,1523.5555555555552
Akluj,Onion,Akluj-Onion,2016-10-01,442,1010.8888888888891
Akluj,Onion,Akluj-Onion,2014-09-01,1621,-966.7777777777778
Akluj,Onion,Akluj-Onion,2015-09-01,4665,-1317.0277777777778
Akluj,Onion,Akluj-Onion,2016-09-01,568,-550.8194444444439
Akluj,Potato,Akluj-Potato,2015-04-01,833,2050.939814814815
Akluj,Potato,Akluj-Potato,2016-04-01,1478,1272.6064814814815
Akluj,Potato,Akluj-Potato,2015-08-01,1050,1201.023148148148
Akluj,Potato,Akluj-Potato,2016-08-01,1992,973.6342592592594
Akluj,Potato,Akluj-Potato,2014-12-01,2171,931.7175925925926
Akluj,Potato,Akluj-Potato,2015-12-01,1463,842.0787037037037
Akluj,Potato,Akluj-Potato,2015-02-01,1170,932.9398148148149
Akluj,Potato,Akluj-Potato,2016-02-01,1306,937.6064814814815
Akluj,Potato,Akluj-Potato,2015-01-01,1362,1081.023148148148
Akluj,Potato,Akluj-Potato,2016-01-01,1289,1192.6342592592594
Akluj,Potato,Akluj-Potato,2015-07-01,1027,1154.7175925925926
Akluj,Potato,Akluj-Potato,2016-07-01,2005,1287.0787037037037
Akluj,Potato,Akluj-Potato,2015-06-01,1053,1342.9398148148148
Akluj,Potato,Akluj-Potato,2016-06-01,1771,1199.6064814814815
Akluj,Potato,Akluj-Potato,2015-03-01,828,1337.023148148148
Akluj,Potato,Akluj-Potato,2016-03-01,1331,1476.6342592592594
Akluj,Potato,Akluj-Potato,2015-05-01,908,1576.7175925925926
